author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
ID 115781716;realtor;https://www.cian.ru/sale/flat/301542108/;Москва;sale;flat;7;22;1;38.2;19796539;Покровское-Стрешнево;Летная ;95Бк2;Спартак;ÁLIA
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/300791352/;Москва;sale;flat;2;12;1;35.8;11499999;Академический; Винокурова;12К4;Академическая;
Estes;real_estate_agent;https://www.cian.ru/sale/flat/300647536/;Москва;sale;flat;4;12;1;38.7;12550000;Нагатино-Садовники;Коломенский проезд;14К1;Каширская;
ЛИДЕР Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/301262111/;Москва;sale;flat;9;41;1;40.4;32500000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
Бест офис на Таганской;real_estate_agent;https://www.cian.ru/sale/flat/301837346/;Москва;sale;flat;18;22;1;38.7;8000000;Можайский;Беловежская ;81;Сетунь;
ЛИДЕР Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/301262104/;Москва;sale;flat;12;41;1;41.9;30900000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
ЛИДЕР Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/301774713/;Москва;sale;flat;8;40;1;42.0;34000000;Хорошевский;Ленинградский проспект;37/5;Аэропорт;Прайм Парк
ЕГСН Продажа;real_estate_agent;https://www.cian.ru/sale/flat/299740960/;Москва;sale;flat;15;17;1;34.6;9000000;Ясенево; Инессы Арманд;7;Новоясеневская;
ЛИДЕР Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/301262081/;Москва;sale;flat;6;41;1;41.3;31500000;Хорошевский;Ленинградский проспект;37/3;Аэропорт;Прайм Парк
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/299890518/;Москва;sale;flat;9;40;1;41.5;32000000;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк
ЕГСН Продажа;real_estate_agent;https://www.cian.ru/sale/flat/300313530/;Москва;sale;flat;12;17;1;41.6;8900000;Косино-Ухтомский;Лухмановская ;15к4;Лухмановская;
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/299860953/;Москва;sale;flat;9;41;1;40.5;27000000;Хорошевский;Ленинградский проспект;37/3;Аэропорт;Прайм Парк
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/299860952/;Москва;sale;flat;3;40;1;45.5;34500000;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк
ПЕРСОНА;real_estate_agent;https://www.cian.ru/sale/flat/300448810/;Москва;sale;flat;14;14;1;38.0;8700000;Косино-Ухтомский; Дмитриевского;23;Лухмановская;
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/301550653/;Москва;sale;flat;13;41;1;41.5;31000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/292933473/;Москва;sale;flat;16;40;1;41.1;31500000;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк
ID 10392706;homeowner;https://www.cian.ru/sale/flat/300396782/;Москва;sale;flat;6;9;1;32.5;12900000;Черемушки;Новочеремушкинская ;55К1;Профсоюзная;
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/300557016/;Москва;sale;flat;8;41;1;41.5;34000000;Хорошевский;Ленинградский проспект;37/5;Аэропорт;Прайм Парк
ID 44147381;realtor;https://www.cian.ru/sale/flat/301719443/;Москва;sale;flat;5;8;1;35.0;20500000;Тверской;Лесная ;63/43с2;Менделеевская;
Ксения Шахматова;realtor;https://www.cian.ru/sale/flat/300488507/;Москва;sale;flat;6;9;1;36.0;12500000;Отрадное; Бестужевых;3Б;Отрадное;
Елена Медведева;realtor;https://www.cian.ru/sale/flat/301631875/;Москва;sale;flat;2;9;1;34.0;11450000;Орехово-Борисово Южное;Воронежская ;22К2;Домодедовская;
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/300136415/;Москва;sale;flat;12;14;1;54.5;35700000;Пресненский; Малая Грузинская;28;Краснопресненская;
Анна Климова;realtor;https://www.cian.ru/sale/flat/298284201/;Москва;sale;flat;1;9;1;35.5;7300000;Бирюлево Западное;Востряковский проезд;3К1;Пражская;
ID 51622949;homeowner;https://www.cian.ru/sale/flat/296922118/;Москва;sale;flat;13;15;1;44.0;25490000;Нагатинский затон; Корабельная;17к3;Нагатинский Затон;Ривер Парк Коломенское
Руслан Гучински;realtor;https://www.cian.ru/sale/flat/301529327/;Москва;sale;flat;6;15;1;45.0;36800000;Беговой; 1-я Ямского Поля;1к1;Белорусская;Slava
Юлия Кубанцева;realtor;https://www.cian.ru/sale/flat/301481404/;Москва;sale;flat;11;14;1;39.0;11999000;Восточное Дегунино; 800-летия Москвы;11К10;Бескудниково;
ЕГСН Продажа;real_estate_agent;https://www.cian.ru/sale/flat/298527999/;Москва;sale;flat;3;9;1;38.7;10500000;Перово; Плеханова;26К4;Перово;
ЕГСН Продажа;real_estate_agent;https://www.cian.ru/sale/flat/297263854/;Москва;sale;flat;2;14;1;38.3;9300000;Южное Бутово;Изюмская ;49к4;Бутово;
